pitcher_id,pitcher_name,pitcher_hand,pitch_group,pitches,mean_velo,mean_pfx_x,mean_pfx_z,mean_arm_angle
502624,"Anderson, Chase",R,SI,17,92.7235294117647,-1.22,1.1694117647058824,44.61764705882353
502624,"Anderson, Chase",R,ST,154,80.50974025974025,1.3109090909090908,-0.24162337662337663,43.14675324675325
506433,"Darvish, Yu",R,CH,109,87.7862385321101,-0.6111926605504587,0.3714678899082569,40.091743119266056
506433,"Darvish, Yu",R,CU,160,75.7975,0.7655000000000001,-1.1264375,45.365625
506433,"Darvish, Yu",R,FC,53,90.78301886792453,0.0028301886792452824,0.9403773584905661,39.779245283018874
506433,"Darvish, Yu",R,FF,220,94.02818181818182,-0.6306363636363637,1.394090909090909,39.82954545454545
506433,"Darvish, Yu",R,SI,198,93.54090909090908,-1.269949494949495,0.801010101010101,35.89343434343434
506433,"Darvish, Yu",R,SL,282,85.89751773049645,0.4413475177304964,0.06379432624113476,40.55460992907801
506433,"Darvish, Yu",R,ST,167,82.03473053892215,1.2559281437125749,-0.01586826347305389,38.210179640718565
518397,"Alexander, Scott",L,CH,73,84.53287671232876,0.8379452054794521,0.17657534246575343,40.6013698630137
518397,"Alexander, Scott",L,SI,365,92.07342465753426,1.1712054794520548,0.28016438356164386,35.39835616438356
518397,"Alexander, Scott",L,SL,128,82.71328125,-0.428671875,-0.39046875,37.77421875
518489,"Brasier, Ryan",R,FC,45,90.43777777777777,0.14066666666666666,0.9077777777777778,42.577777777777776
518489,"Brasier, Ryan",R,FF,105,94.45619047619047,-0.5856190476190476,1.3468571428571428,38.95333333333333
518489,"Brasier, Ryan",R,SI,60,94.55833333333334,-1.262,0.9915,39.181666666666665
518489,"Brasier, Ryan",R,SL,153,85.36601307189542,0.404640522875817,0.09228758169934641,45.203267973856214
518585,"Cruz, Fernando",R,CH,477,81.51278825995807,-0.469916142557652,0.2590146750524109,48.17358490566038
518585,"Cruz, Fernando",R,FC,291,88.62611683848797,0.3674914089347079,0.6373883161512027,42.659106529209616
518585,"Cruz, Fernando",R,FF,370,94.64810810810812,-0.5633513513513514,1.4118108108108107,44.002702702702706
518617,"Diekman, Jake",L,CH,57,87.00350877192982,1.3494736842105264,0.4094736842105263,18.905263157894737
518617,"Diekman, Jake",L,FF,367,94.54850136239783,1.4400817438692097,0.9243869209809265,20.354223433242506
518617,"Diekman, Jake",L,ST,168,82.7125,-1.1397619047619048,0.22160714285714284,18.343452380952378
518876,"Kelly, Merrill",R,CH,239,88.39748953974896,-1.2005020920502092,0.08447698744769876,26.135983263598327
518876,"Kelly, Merrill",R,CU,89,82.21573033707865,0.7340449438202247,-0.8312359550561799,30.591011235955055
518876,"Kelly, Merrill",R,FC,288,90.33125000000001,-0.11225694444444444,0.8972569444444445,24.154166666666665
518876,"Kelly, Merrill",R,FF,224,91.92098214285714,-0.6877678571428572,1.2113839285714287,23.366964285714285
518876,"Kelly, Merrill",R,SI,167,92.32694610778444,-1.261556886227545,0.5703592814371258,24.496407185628744
518876,"Kelly, Merrill",R,SL,135,85.58444444444444,0.23355555555555557,0.18651851851851853,27.354074074074074
518886,"Kimbrel, Craig",R,CU,278,84.25503597122302,0.9755035971223022,-0.7456474820143885,29.215827338129497
518886,"Kimbrel, Craig",R,FF,633,93.85434439178515,-0.7997630331753555,1.2937440758293839,24.71816745655608
518886,"Kimbrel, Craig",R,ST,47,85.59574468085107,1.2695744680851064,-0.17063829787234042,26.71276595744681
519008,"McFarland, T.J.",L,CH,103,81.3766990291262,1.1727184466019418,-0.2551456310679612,15.544660194174757
519008,"McFarland, T.J.",L,SI,406,88.02906403940888,1.3870689655172412,-0.2291871921182266,11.24064039408867
519008,"McFarland, T.J.",L,ST,321,78.23052959501558,-1.5162616822429906,-0.13367601246105917,16.552647975077882
519043,"Moore, Matt",L,CH,271,82.76863468634686,1.3903321033210332,0.6464944649446493,45.61476014760148
519043,"Moore, Matt",L,CU,150,82.074,-0.4419333333333334,-0.8559333333333332,49.184666666666665
519043,"Moore, Matt",L,FF,427,92.72459016393442,0.8483372365339579,1.4539110070257613,40.87915690866511
519151,"Pressly, Ryan",R,CH,108,89.5324074074074,-0.9985185185185186,0.37277777777777776,51.975
519151,"Pressly, Ryan",R,CU,236,82.33389830508474,1.3105084745762712,-0.9426694915254237,57.036440677966105
519151,"Pressly, Ryan",R,FF,318,93.79591194968553,-0.028584905660377358,1.3718238993710692,57.67610062893082
519151,"Pressly, Ryan",R,SI,17,93.61764705882354,-1.0023529411764704,0.9505882352941176,56.1
519151,"Pressly, Ryan",R,SL,274,89.5616788321168,0.4141970802919708,0.2494890510948905,58.753284671532846
519242,"Sale, Chris",L,CH,413,87.06803874092009,1.3508474576271186,0.02271186440677966,6.650363196125908
519242,"Sale, Chris",L,FF,1063,94.84214487300093,1.240197554092192,0.8475634995296332,12.599529633113828
519242,"Sale, Chris",L,SI,202,94.1970297029703,1.479059405940594,0.23277227722772278,9.607920792079208
519242,"Sale, Chris",L,SL,1135,78.64493392070484,-0.9144757709251102,-0.3947577092511013,11.139823788546256
519293,"Smith, Will",L,CH,98,85.81836734693879,1.1887755102040816,0.9604081632653062,46.817346938775515
519293,"Smith, Will",L,CU,79,76.33417721518987,-0.7691139240506328,-0.7954430379746836,49.12278481012658
519293,"Smith, Will",L,FF,195,91.19589743589744,0.6038461538461538,1.4225128205128204,46.855384615384615
519293,"Smith, Will",L,SL,301,80.57308970099668,-0.5061129568106313,0.004651162790697674,43.20033222591362
519326,"Strickland, Hunter",R,CH,71,88.11830985915492,-1.1925352112676058,0.6394366197183098,36.66478873239436
